Resolution,Site,Year_Month,Total_surface_dic_masked,Mean_k_ddic
0.25,12,2004_6,3615009798346.227,1.2016447212943746
0.25,4,2004_7,5079078469806.933,0.8176878386364251
0.25,7,2004_7,1398002744353.6711,0.9864337902498104
0.25,12,2004_7,2319705071462.305,1.8269367557043126
0.25,4,2004_8,4297363502341.407,0.7794585814242493
0.25,7,2004_8,1096204504302.4789,1.4401326549774374
0.25,12,2004_8,1539657143721.3179,1.8695387236513357
0.25,4,2004_9,3904649744910.2705,0.6043224766390501
0.25,7,2004_9,892968627293.4668,0.8621984473689833
0.25,12,2004_9,1273095467234.254,1.9925309918157619
0.25,4,2004_10,3759798210798.7417,0.6383340823466354
0.25,7,2004_10,745777098450.3553,1.1162732684945424
0.25,12,2004_10,1215031294864.838,1.7252413784675158
0.25,4,2004_11,3578032831556.4224,0.7253397653761396
0.25,7,2004_11,618314814796.3505,1.1000891483141262
0.25,12,2004_11,1179453270490.0688,1.5229490344952938
0.25,4,2004_12,3235198655392.186,0.6965098955647527
0.25,7,2004_12,489735226062.5644,0.9798735501164171
0.25,12,2004_12,1062386593615.4154,0.9054180807088339
0.25,4,2005_1,2812995514827.036,0.8724100570865265
0.25,7,2005_1,407710976796.0158,1.132124422705231
0.25,12,2005_1,992372134509.653,1.2266081240225981
0.25,4,2005_2,2404298455650.5635,0.8914690237524856
0.25,7,2005_2,361389154322.55176,1.039015575986557
0.25,12,2005_2,871137707942.1215,1.2245096111013432
0.25,4,2005_3,2121364248667.4082,0.8003597028504468
0.25,7,2005_3,316741122952.9797,0.8933916999444399
0.25,12,2005_3,843393880507.3605,1.0463025084328623
0.25,4,2005_4,1898346282041.742,0.8167586943299511
0.25,7,2005_4,296088343201.6273,0.8782804165912802
0.25,12,2005_4,865961580256.6393,1.681763593660568
0.25,4,2005_5,1752895141525.8452,0.6748110050114748
0.25,7,2005_5,288808189773.05817,1.0395034114896966
0.25,12,2005_5,873556200684.13,1.2493607105381397
0.25,4,2005_6,1596219021468.639,0.7007073952010885
0.25,7,2005_6,318380727185.3586,1.5706899967866026
0.25,12,2005_6,882446412309.9359,1.4477344458233543
0.25,4,2005_7,1483103792512.4443,0.6953362283501902
0.25,7,2005_7,353675800783.9646,1.529625499329836
0.25,12,2005_7,879131880555.6029,1.3945925449226981
0.25,4,2005_8,1381683317632.165,0.6687212919266244
0.25,7,2005_8,364316588953.547,1.4799254397951964
0.25,12,2005_8,846390788807.8231,1.9341173071227575
0.25,4,2005_9,1312184156694.7288,0.5906642392583423
0.25,7,2005_9,359065130091.11566,1.936906685352886
0.25,12,2005_9,785046685434.555,1.1488316111456711
0.25,4,2005_10,1272442360451.5637,0.6629160033891901
0.25,7,2005_10,334669841927.38776,1.3911253229120748
0.25,12,2005_10,712134952276.761,1.9113609737884127
