Resolution,Site,Year_Month,Total_surface_dic_masked,Mean_k_ddic
0.1,17,2005_01,1123784253124.2173,2.051571602279202
0.1,5,2005_02,487813151921.362,2.1354476875454314
0.1,16,2005_02,174309650867.06653,1.3267416911191354
0.1,17,2005_02,741560673362.169,1.9126176439185663
0.1,5,2005_03,415695581574.25934,1.7927414328752334
0.1,16,2005_03,152130473720.21136,1.2074337695722805
0.1,17,2005_03,591699376554.2168,1.5628842032333352
0.1,5,2005_04,382199682269.30414,1.738936779079129
0.1,16,2005_04,150776680367.3234,1.7559169512560138
0.1,17,2005_04,500947245329.82086,1.477828254953224
0.1,5,2005_05,322839858000.62103,1.1105316609535218
0.1,16,2005_05,170886433340.64633,2.030911618963337
0.1,17,2005_05,408346134409.17554,0.965085683959888
0.1,5,2005_06,252353352800.60052,1.1344244951551772
0.1,16,2005_06,200170356134.9617,1.3060984890466523
0.1,17,2005_06,301945742862.0361,0.9981038122820952
0.1,5,2005_07,197626773746.07947,1.0602124743350112
0.1,16,2005_07,224458325314.824,2.264292097421286
0.1,17,2005_07,207857869026.04105,0.7679351391886364
0.1,5,2005_08,164138019550.41763,1.2613519013722352
0.1,16,2005_08,262840125792.0094,2.738037422968526
0.1,17,2005_08,143931157188.5275,0.686752310333462
0.1,5,2005_09,176926570382.51883,1.7198507345233056
0.1,16,2005_09,271296924663.6764,1.6761354725988762
0.1,17,2005_09,121269018802.0869,0.7173698456001267
0.1,5,2005_10,209984651811.44812,1.9221812988673241
0.1,16,2005_10,249607610493.0272,1.7656760441802577
0.1,17,2005_10,121697117652.82448,1.0441959401411296
0.1,5,2005_11,229956166443.71793,2.0675357574005124
0.1,16,2005_11,197999781184.92062,1.5688883924597825
0.1,17,2005_11,145175748285.33163,1.3484239006275613
0.1,5,2005_12,239595452608.5923,1.9313062891022137
0.1,16,2005_12,152650918039.08563,1.9542692776908603
0.1,17,2005_12,214909767479.16458,2.293436808560177
