Resolution,Site,Year_Month,Total_surface_dic_masked,MeanTemp,MeanTemp_whole_mask_no_weighted
0.25,7,2007_6,71788185279.70848,16.026434985134813,22.537133789062523
0.25,12,2007_6,205177340133.0429,-1.784051179718574,1.4272705078125227
0.25,4,2007_7,271753845468.19394,26.781496910508054,14.721490478515648
0.25,7,2007_7,86775586407.9802,15.150943750324984,21.983941650390648
0.25,12,2007_7,214327520554.14713,-1.8226984203565735,1.1306396484375227
0.25,4,2007_8,246793130737.67484,26.82920786002103,15.232415771484398
0.25,7,2007_8,100846727899.30597,14.609183588031385,21.685296630859398
0.25,12,2007_8,216222195840.6755,-1.8268535135309207,0.9427734375000227
0.25,4,2007_9,229889572219.903,26.9166010215244,14.783135986328148
0.25,7,2007_9,107037394872.0819,14.410910720390063,21.672387695312523
0.25,12,2007_9,211908941683.6319,-1.8325082962598458,0.8795410156250227
0.25,4,2007_10,219974186349.08954,26.671023083294983,13.879907226562523
0.25,7,2007_10,96223176512.19142,14.905375844931825,21.887231445312523
0.25,12,2007_10,204609145550.49725,-1.7892082127293634,1.0007263183593977
0.25,4,2007_11,216855923448.68054,26.048465582841573,12.959069824218773
0.25,7,2007_11,78832796012.78265,16.074190592639695,22.345971679687523
0.25,12,2007_11,192744860057.17676,-1.6753606895071584,1.3223815917968977
0.25,4,2007_12,213838122166.71384,25.35161347365414,12.205590820312523
0.25,7,2007_12,62736304426.03642,17.152545850744332,22.879266357421898
0.25,12,2007_12,168178118176.13922,-1.2779023213200844,2.0572143554687727
1,4,2004_01,7275895776406.17,27.676060317170368,12.038323974609398
1,7,2004_01,7844467144152.594,21.14031637150822,23.258569335937523
1,12,2004_01,24037364250705.2,0.05183754652028938,3.5975280761718977
1,4,2004_02,8072877449190.067,27.895431518135865,11.801507568359398
1,7,2004_02,10226496999605.566,22.103197660417663,23.521051025390648
1,12,2004_02,21571614621557.15,0.041869927275115515,4.027642822265648
1,4,2004_03,6782398578018.24,28.014262911424453,11.747247314453148
1,7,2004_03,6340639059571.595,21.584984204669354,23.432183837890648
1,12,2004_03,11506735061119.154,-1.560777067174854,3.5513244628906477
1,4,2004_04,6388153563316.654,28.070245642541465,11.970391845703148
1,7,2004_04,4232044854729.66,21.000868125144905,23.324212646484398
1,12,2004_04,7368686560748.758,-1.8498618600427221,2.7519775390625227
1,4,2004_05,6699415461713.758,27.899891474368076,12.493371582031273
1,7,2004_05,2721138335975.17,20.021889819135765,22.867333984375023
1,12,2004_05,4478214066649.306,-1.8398012364631313,1.9433227539062727
1,4,2004_06,6148298432725.23,27.809441474897255,13.566583251953148
1,7,2004_06,1620513561170.2937,18.737618014947998,22.180810546875023
1,12,2004_06,2587615247376.9717,-1.8294131079344993,1.4442382812500227
